iter	Passed	Remaining
0	290	290611
1	296	147783
2	304	101061
3	309	77003
4	320	63796
5	329	54606
6	338	48032
7	343	42604
8	352	38768
9	357	35418
10	410	36920
11	416	34290
12	422	32050
13	427	30091
14	433	28489
15	439	27009
16	444	25678
17	449	24518
18	458	23691
19	464	22742
20	469	21907
21	475	21120
22	521	22166
23	527	21452
24	544	21224
25	551	20675
26	557	20086
27	563	19574
28	575	19267
29	580	18777
30	589	18424
31	600	18174
32	606	17761
33	624	17731
34	634	17493
35	640	17152
36	646	16826
37	653	16540
38	658	16221
39	684	16427
40	692	16190
41	703	16035
42	709	15782
43	718	15619
44	723	15361
45	742	15406
46	750	15227
47	755	14993
48	762	14803
49	767	14580
50	774	14407
51	778	14190
52	782	13985
53	790	13854
54	795	13670
55	799	13478
56	807	13355
57	811	13176
58	815	13004
59	825	12933
60	831	12795
61	841	12723
62	845	12579
63	854	12491
64	860	12376
65	868	12296
66	875	12185
67	879	12051
68	886	11961
69	890	11827
70	895	11711
71	901	11621
72	907	11526
73	913	11429
74	922	11379
75	927	11281
76	939	11259
77	959	11341
78	971	11326
79	1023	11773
80	1029	11678
81	1038	11625
82	1054	11653
83	1060	11561
84	1068	11502
85	1097	11665
86	1103	11583
87	1109	11499
88	1120	11472
89	1132	11446
90	1137	11359
91	1193	11782
92	1202	11732
93	1208	11646
94	1215	11575
95	1222	11511
96	1225	11405
97	1256	11566
98	1267	11531
99	1272	11449
100	1280	11398
101	1302	11466
102	1314	11451
103	1320	11373
104	1327	11313
105	1333	11245
106	1346	11234
107	1363	11263
108	1369	11192
109	1377	11144
110	1382	11074
111	1387	11003
112	1398	10976
113	1403	10906
114	1415	10891
115	1420	10824
116	1430	10795
117	1435	10729
118	1443	10689
119	1453	10655
120	1464	10640
121	1470	10579
122	1476	10528
123	1487	10508
124	1492	10450
125	1501	10416
126	1572	10811
127	1578	10754
128	1584	10699
129	1592	10656
130	1596	10589
131	1604	10547
132	1636	10665
133	1642	10613
134	1647	10555
135	1655	10520
136	1661	10465
137	1671	10439
138	1716	10633
139	1723	10588
140	1729	10533
141	1736	10491
142	1742	10440
143	1789	10637
144	1795	10585
145	1798	10517
146	1806	10484
147	1812	10431
148	1821	10403
149	1844	10454
150	1855	10430
151	1860	10380
152	1870	10355
153	1876	10306
154	1881	10256
155	1925	10417
156	1931	10370
157	1989	10603
158	1994	10552
159	2000	10503
160	2008	10464
161	2013	10417
162	2038	10466
163	2044	10421
164	2049	10372
165	2055	10328
166	2064	10299
167	2070	10253
168	2098	10316
169	2104	10272
170	2113	10247
171	2181	10500
172	2183	10438
173	2188	10388
174	2195	10348
175	2201	10306
176	2210	10279
177	2216	10235
178	2220	10186
179	2271	10349
180	2287	10348
181	2294	10314
182	2319	10355
183	2324	10309
184	2334	10284
185	2339	10236
186	2347	10207
187	2352	10162
188	2406	10324
189	2420	10320
190	2427	10280
191	2434	10245
192	2439	10199
193	2447	10169
194	2452	10125
195	2470	10134
196	2480	10110
197	2488	10078
198	2498	10058
199	2504	10016
200	2534	10073
201	2539	10031
202	2549	10010
203	2554	9968
204	2565	9950
205	2571	9911
206	2642	10122
207	2647	10082
208	2652	10040
209	2659	10005
210	2664	9964
211	2669	9922
212	2738	10117
213	2748	10096
214	2754	10058
215	2764	10035
216	2769	9993
217	2774	9951
218	2833	10106
219	2839	10065
220	2848	10039
221	2853	10000
222	2858	9960
223	2866	9929
224	2901	9992
225	2906	9953
226	2916	9932
227	2922	9895
228	2931	9871
229	2937	9834
230	2946	9810
231	2952	9772
232	2957	9734
233	2967	9713
234	2972	9676
235	2981	9653
236	3007	9681
237	3017	9661
238	3023	9626
239	3034	9608
240	3039	9571
241	3047	9545
242	3091	9630
243	3099	9604
244	3109	9580
245	3114	9546
246	3119	9511
247	3146	9540
248	3152	9508
249	3162	9486
250	3200	9549
251	3210	9530
252	3215	9494
253	3220	9459
254	3225	9424
255	3229	9384
256	3270	9455
257	3276	9422
258	3281	9387
259	3288	9358
260	3293	9325
261	3298	9290
262	3307	9268
263	3329	9281
264	3338	9259
265	3343	9225
266	3348	9192
267	3357	9170
268	3362	9138
269	3426	9264
270	3433	9235
271	3440	9208
272	3445	9176
273	3455	9156
274	3460	9123
275	3522	9240
276	3527	9207
277	3537	9186
278	3542	9155
279	3547	9122
280	3558	9104
281	3563	9073
282	3574	9055
283	3625	9140
284	3644	9142
285	3648	9109
286	3659	9091
287	3664	9059
288	3674	9039
289	3698	9054
290	3709	9038
291	3746	9084
292	3751	9051
293	3760	9029
294	3764	8997
295	3834	9121
296	3846	9105
297	3851	9073
298	3860	9049
299	3877	9047
300	3883	9017
301	3895	9004
302	3900	8973
303	3910	8953
304	3915	8922
305	3923	8897
306	3929	8869
307	3934	8839
308	3941	8814
309	3946	8784
310	3951	8753
311	3961	8735
312	3967	8708
313	3975	8684
314	3990	8678
315	3996	8650
316	4010	8640
317	4015	8612
318	4025	8594
319	4031	8567
320	4041	8547
321	4094	8621
322	4099	8592
323	4107	8569
324	4112	8542
325	4118	8514
326	4127	8495
327	4160	8523
328	4205	8577
329	4211	8551
330	4217	8524
331	4228	8508
332	4234	8480
333	4251	8478
334	4262	8461
335	4267	8433
336	4274	8408
337	4280	8383
338	4296	8376
339	4301	8349
340	4311	8331
341	4316	8304
342	4344	8322
343	4350	8295
344	4398	8350
345	4407	8331
346	4413	8305
347	4423	8287
348	4429	8262
349	4441	8248
350	4462	8251
351	4468	8225
352	4491	8232
353	4495	8204
354	4500	8176
355	4508	8155
356	4512	8128
357	4517	8100
358	4525	8080
359	4530	8053
360	4538	8033
361	4542	8005
362	4546	7978
363	4555	7959
364	4560	7934
365	4565	7908
366	4575	7892
367	4581	7868
368	4590	7850
369	4605	7842
370	4621	7835
371	4627	7812
372	4636	7794
373	4641	7769
374	4646	7744
375	4655	7726
376	4731	7819
377	4741	7802
378	4747	7778
379	4756	7759
380	4761	7735
381	4766	7711
382	4778	7697
383	4783	7672
384	4792	7655
385	4798	7632
386	4807	7614
387	4812	7590
388	4821	7573
389	4827	7550
390	4832	7526
391	4841	7509
392	4846	7485
393	4863	7479
394	4880	7474
395	4891	7460
396	4896	7436
397	4905	7420
398	4910	7396
399	4925	7387
400	4929	7364
401	4956	7372
402	4961	7349
403	4970	7333
404	4975	7309
405	4980	7286
406	4990	7270
407	5037	7309
408	5043	7287
409	5053	7272
410	5058	7249
411	5063	7226
412	5077	7217
413	5087	7200
414	5093	7179
415	5106	7168
416	5111	7145
417	5118	7126
418	5124	7105
419	5127	7081
420	5137	7064
421	5141	7041
422	5145	7018
423	5154	7002
424	5158	6978
425	5162	6955
426	5168	6935
427	5173	6913
428	5184	6900
429	5189	6879
430	5199	6863
431	5205	6844
432	5216	6831
433	5221	6810
434	5232	6795
435	5237	6774
436	5246	6759
437	5251	6738
438	5256	6717
439	5266	6702
440	5297	6715
441	5302	6694
442	5307	6673
443	5313	6653
444	5325	6642
445	5332	6623
446	5357	6628
447	5362	6607
448	5371	6592
449	5376	6571
450	5382	6551
451	5389	6534
452	5426	6552
453	5436	6538
454	5442	6519
455	5447	6498
456	5456	6483
457	5461	6463
458	5471	6448
459	5477	6429
460	5483	6411
461	5489	6392
462	5494	6372
463	5501	6355
464	5506	6335
465	5545	6355
466	5554	6339
467	5559	6319
468	5568	6304
469	5573	6284
470	5578	6265
471	5593	6257
472	5600	6239
473	5605	6220
474	5610	6201
475	5617	6184
476	5623	6165
477	5642	6162
478	5651	6147
